CHV,synonym
C0000832,"ablatio placentae,abruptio placenta,abruptio placentae,abruption placental,accidental haemorrhage,accidental hemorrhage,placenta abruptio,placentae abruptio,placental separation,premature separation of placenta"
C0000833,abscesses
C0000869,locust tree
C0000872,"academic center medical,hospital teaching,university medical center"
C0000876,academies
C0000879,"acanthameba,acanthoamoeba"
C0000886,"acanthocyte,acanthrocyte,cells spur,spur cell"
C0000894,accelerations
C0000901,acceptor
C0000905,"cranial nerve xi,spinal accessory nerve,spinal accessory nerves"
C0000918,"accidents prevention,prevention accident"
C0000919,accident-prone
C0000921,accidental fall
C0000924,"accident falls,accidents,accidents fall,fall accident,falls accidents"
C0000925,"cut,cuts,incised wound"
C0000929,"accidents home,accidents in the home,domestic accident,home accident,household accidents"
C0000931,accidents workplace
C0000932,"automobile accident,automobile accidents,motor vehicle accident,motor vehicle accidents,motor vehicle collision,traffic accidents"
C0000934,"acclimation,adaptation,adaptations"
C0000936,"accommodation eye,accommodations,accommodations eye,eye accommodation,ocular accommodation,visual accommodation"
C0000946,acetobutolol
C0000956,nicoumalone
C0000959,acetopromazine
C0000962,acetabulum anatomy
C0000966,ethanal
C0000973,acetanilide
C0000975,acetate
C0000981,acetazolamides
C0000983,"acetic acid ear,ethanoic acid,glacial acetic acid"
C0000985,acetic acids
C0001002,acetones
C0001022,acetyl coa carboxylase
C0001026,"acetyl coenzyme,acetyl coenzyme a"
C0001040,"acetyl carnitine l,acetyl l carnitine,acetylcarnitine"
C0001044,"acetylcholinesterases,erythrocyte cholinesterase"
C0001046,acetylcholinesterase inhibitor
C0001047,"acetyl cysteine,acetyl cysteine l n,acetylcysteine n,l cysteine n acetyl,mercapturic acid,n acetyl l cysteine,n acetylcysteine,n-acetyl-l-cysteine,n-acetylcysteine"
C0001052,"acetylenes,ethyne"
C0001056,"acetylglucosamine,n-acetyl glucosamine"
C0001057,n-acetyl-beta-d-glucosaminidase
C0001061,"acetylprocainamide,n-acetylprocainamide"
C0001072,achievements
C0001074,"achilles,achilles tendons,calcaneal tendon,calcaneal tendons"
C0001075,"achylia gastrica,gastric achlorhydria"
C0001080,"achondroplastic dwarf,achondroplastic dwarfism,chondrodystrophia"
C0001117,"acid balance base,acid balance based,acid balance bases,acid base balances,acid base equilibrium,acid based balance,acid based equilibrium,acid-base balance,acid-base equilibrium,equilibrium acid-base"
C0001118,"acid base imbalances,acid-base imbalance,acid-base imbalances"
C0001122,acidoses
C0001125,"acidosis lactic,lactacidosis"
C0001126,"acidosis renal tubules,acidosis tubular renal,renal tubule acidosis,rta,tubular renal acidosis"
C0001127,"acidosis respiratory,hypercapnic acidosis"
C0001128,"acid substances,acids"
C0001139,acinetobacter infection
C0001144,acne vulgaris
C0001145,"acne keloid,acne keloids,keloid acne"
C0001162,"acoustic nerve,cochlear-vestibular nerve,cranial nerve viii,eighth cranial nerve,vestibulocochlear nerve"
C0001163,acoustic nerve disorder
C0001166,acoustics
C0001173,pyloric stenosis adult
C0001175,"acquired immunodeficiency syndrome,AIDS,AIDS disorders,AIDS HIV infection,AIDS HIV infections,autoimmune deficiency syndrome"
C0001180,cephalosporium
C0001185,orange acridine
C0001186,acridines
C0001193,"acrocephalosyndactylia,acrocephalosyndactyly,apert's syndrome"
C0001198,"acrodynia,disease pinks,feer disease,feer's disease,polyneuropathy erythredema,swift disease,swift's disease,swifts disease"
C0001206,"acromegalia,marie disease"
C0001208,"acromioclavicular joints,joint acromioclavicular"
C0001222,acrylic resin
C0001239,abp
C0001250,actinomyces sp
C0001252,actinomycosis israelii
C0001261,"actinomyces infection,actinomycoses,actinomycotic infection"
C0001263,actinomycosis abdominal
C0001264,"cervicofacial actinomycosis,jaw lumpy"
C0001271,actins
C0001272,action potentials
C0001275,"activate carbon,activate charcoal,activated carbon,active carbon,charcoal activated"
C0001280,activating macrophage
C0001288,"activities of daily living,activity of daily living,adl,adls,daily living activities,functional ability"
C0001301,"acupuncture anaesthesia,anaesthesia acupuncture"
C0001302,"acupoint,acupuncture point,acupuncture points,points acupuncture"
C0001311,bronchiolitis acute
C0001314,"acute diseases,acute disorders,disease acute"
C0001344,"pharyngitis acute,pharyngitis nos acute"
C0001347,"acute phase protein,acute phase proteins,acute phase reactant"
C0001349,"acute phase reactions,acute phase response"
C0001360,thyroiditis acute
C0001361,infective tonsillitis
C0001363,"acute intestinal ischaemia,acute ischemia mesenteric,acute mesenteric ischaemia"
C0001364,"acute atrophy yellow,acute hepatic necrosis,acute necrosis of liver,massive hepatic necrosis"
C0001369,acp
C0001374,"acyl coenzyme,fatty acyl coa,long chain acyl coa"
C0001390,acyltransferase
C0001396,"adam attack stokes,adam-stokes syndrome,adams attack stoke,adams stoke syndrome,adams stokes attack,adams stokes syndrome,adams-stokes syndrome,morgagni's disease,stoke adams syndrome,stokes adams attacks,stokes-adams attack,stokes-adams attacks,stokes-adams syndrome"
C0001400,physiological adaptations
C0001403,"addison disease,primary adrenal insufficiency"
C0001407,vitamin b4
C0001413,adenosine 5 monophosphate
C0001417,adeno-associated virus
C0001418,adenocarcinomas
C0001420,adenocarcinoma papillary
C0001422,adenofibromas
C0001425,adenoidectomy procedure
C0001428,"adenoid,adenoids,pharyngeal tonsils"
C0001429,"adenolymphoma,tumor warthin's,tumor warthins,tumors warthin's,warthin tumor,warthin's tumour"
C0001430,"adenoma,adenomas,benign adenoma"
C0001432,"adenoma chromophobe,adenoma chromophobe pituitary"
C0001455,"cyclic adenosine monophosphate,cyclic amp"
C0001459,"adenosine diphosphate,adp"
C0001465,"adenosine monophosphate,amp"
C0001471,adenosine receptor
C0001473,adenosine triphosphatase
C0001479,"potassium pump sodium,pump sodium,sodium potassium atpase,sodium pump,sodium-potassium atpase,sodium-potassium pump"
C0001480,"adenosine triphosphate,ATP"
C0001483,"adenoviral,adenoviridae,adenoviruses"
C0001486,adenovirus infections
C0001492,"adenyl cyclase,adenylyl cyclase,adenylylcyclase"
C0001497,"adenylate kinase,amp kinase"
C0001511,"adhesion,adhesions"
C0001512,"adhesive bandage,bandage adhesive"
C0001516,"adhesive materials,adhesives"
C0001519,"adie holmes syndrome,adie syndrome,holmes adie syndrome,holmes-adie syndrome"
C0001520,adipex p
C0001527,"adipose tissue,adipose tissues,fat tissue,fat tissues,fat yellow,fatty tissues,yellow fat"
C0001529,"adiposis dolorosa,dercum disease,dercum s disease,dercums disease,lipomatosis dolorosa"
C0001546,"adjustment disorders,reactive disorder"
C0001551,"immune adjuvant,immunomodulator,immunomodulators,immunopotentiator,immunostimulants"
C0001554,administration [executive duty]
C0001559,inhalation administration
C0001560,"administration nasal,intranasal administrations"
C0001563,"administration oral,oral medication administration"
C0001575,uterine appendage
C0001576,adnexal diseases
C0001578,"teen age,teen-age,teenage,youth"
C0001580,adolescents behavior
C0001588,"adolescent female,adolescent females,adolescent girl,adolescents female,female adolescent,female adolescents"
C0001589,"adolescent boy,adolescent boys,adolescent male,adolescent males,adolescents male"
C0001593,adoptions
C0001617,"adrenal cortex hormones,adrenal cortical hormone,adrenal corticosteroid,adrenocorticosteroids,corticoid,corticoids,corticosteroids"
C0001618,"adrenal cortex neoplasm,adrenal cortex neoplasms,adrenal cortex tumors"
C0001621,"adrenal disease,adrenal disease gland,adrenal disease glands,adrenal diseases,adrenal diseases gland,adrenal disorder,adrenal disorder gland,adrenal disordered,adrenal disorders,adrenal disorders gland,adrenal gland disease,adrenal gland diseases,adrenal gland disorder,adrenal glands disorders,disease of adrenal gland,diseases adrenal glands,disorders of adrenal glands"
C0001622,"adrenal cortex hyperfunction,adrenal cortical hyperfunction,adrenal gland hyperfunction,adrenocortical hyperfunction,cortisol overproduction,hyperadrenalism,hyperadrenocorticism,hypercorticism,overproduction of cortisol"
C0001623,"adrenal failure,adrenal hypofunction,adrenal hypofunctions,adrenal insufficiencies,insufficiency adrenal"
C0001624,"adrenal gland neoplasm,adrenal gland neoplasms,adrenal gland tumor,adrenal gland tumors,adrenal gland tumour,adrenal gland tumours,adrenal glands tumor,adrenal glands tumors,adrenal neoplasm,adrenal neoplasms,adrenal tumors,adrenal tumour,adrenal tumours,tumor adrenal gland,tumor of adrenal gland"
C0001625,"adrenal glands,adrenals glands,bilateral adrenal gland,both adrenal glands,suprarenal gland"
C0001627,"adrenal congenital hyperplasia,hyperplasia adrenal congenital,hyperplasia congenital adrenal"
C0001630,adrenal rest tumor
C0001632,adrenalectomies
C0001636,"adrenaline hydrochloride,epinephrine hcl,hcl epinephrine"
C0001637,"adrenergic agent,adrenergic agents,adrenergic drug,adrenergic drugs"
C0001640,"alpha adrenergic agonists,alpha-adrenergic agonists"
C0001641,"adrenergic agent alpha blocking,adrenergic alpha blockers,agent alpha adrenoceptor blocking,alpha adrenergic antagonists,alpha adrenergic blocker,alpha adrenergic blockers,alpha adrenergic blocking agents,alpha blockers,alpha-adrenergic blockers,alpha-adrenergic blocking agents"
C0001643,2 adrenergic beta receptors
C0001644,"agonists beta adrenergic receptor,beta adrenergic agonists,beta-adrenergic agonist,beta-adrenergic agonists"
C0001645,"beta adrenergic antagonist,beta adrenergic blocker,beta adrenergic blockers,beta adrenergic blocking agents,beta blockers,beta-adrenergic blockers,beta-adrenergic blocking agent,beta-adrenergic blocking agents,beta-blocker,beta-blocking agent"
C0001648,"adrenergic agonists,adrenomimetic,agonists adrenergic"
C0001655,"ACTH,acth hormone,adrenocorticotrophic hormone,adrenocorticotropic hormone,adrenocorticotropin,corticotrophin,corticotrophins,corticotropin,corticotropins"
C0001675,"21 old year,21 year old,adults"
C0001678,abuse adults
C0001683,advance directive
C0001690,advertised
C0001699,friedlander's bacillus
C0001701,"aerobic exercises,aerobics,aerobics exercise"
C0001705,aeromona
C0001707,"aerophagy,air swallow,air swallowing,swallow air,swallowing air"
C0001712,aerosols
C0001714,"b polymyxin sulfates,polymyxin b sulphate"
C0001723,"affective disorder psychotic,affective psychoses"
C0001733,afibrinogenaemia
C0001734,aflatoxins
C0001738,africa subsaharan
C0001745,africa north
C0001758,"after care,after treatment,after treatments,care after,treatment after"
C0001762,"after images,afterimage,image after,images after"
C0001768,agammaglobulinaemia
C0001771,agars
C0001774,champignons
C0001783,"age factors,ageing factors,factors age"
C0001787,age related osteoporosis
C0001792,"aged persons,older adult"
C0001795,aged over 80
C0001801,agglutinations
C0001802,"agglutination assay,agglutination reaction,agglutination reactions,agglutination testing,agglutination tests"
C0001804,agglutinins
C0001807,"aggressive,aggressive behavior,aggressive behaviors,aggressive behaviour,aggressive behaviours,violent aggressive behavior"
C0001815,"aleukemic myelosis,metaplasia myelofibrosis myeloid,myelofibrosis idiopathic,myelofibrosis primary"
C0001816,agnosias
C0001818,"agoraphobias,fear of open spaces,fear open spaces"
C0001824,agranulocytoses
C0001849,"AIDS dementia complex,aids-related dementia,dementia AIDS,dementia HIV,HIV dementia"
C0001857,"AIDS related complex,aids-related complex"
C0001861,airs
C0001863,air bubbles
C0001864,air condition
C0001866,ionization air
C0001873,air pollutions
C0001876,pressure air
C0001878,"air bladder,air sac"
C0001881,aircrafts
C0001882,airsickness
C0001883,"airway obstructions,airways obstruction,obstruction airway,respiratory obstruction"
C0001889,"coma vigil,mutism akinetic,vigil coma"
C0001898,"ala,l alanine,l-alanine"
C0001899,"alanine aminotransferase,alanine transaminase,alt,alt alanine aminotransferase,alts,glutamate pyruvate transaminase,glutamic pyruvic transaminase,glutamic-pyruvic transaminase,gpt,gpts,s-alat,transaminase glutamic-pyruvic"
C0001906,variola minor
C0001916,"albinism,albinismus"
C0001924,albumins
C0001927,salbutamol
C0001940,alcoholic korsakoff syndrome
C0001942,"ADH,alcohol dehydrogenase,alcohol dehydrogenases"
C0001948,"alcohol consumption,alcohol ingestion,alcohol uses,consumption alcohol,drink alcohol,drinking,intake alcohol"
C0001950,idiosyncratic intoxication
C0001956,alcohol use disorders
C0001957,"alcohol withdrawal delirium,delerium tremens,deliriums tremens,dts"
C0001962,"alcohol,alcohol ethyl,ethanols,ethyl alcohol,EtOH,grain alcohol"
C0001963,"alcohol wood,carbinol,methyl alcohol,wood alcohol"
C0001964,"n-propanol,propyl alcohol"
C0001967,"alcoholic drinking,alcoholic drinks,alcoholics beverages"
C0001969,"acute alcohol intoxication,alcohol intoxication,alcoholic intoxication,drunkenness,drunks,heavy drinker,inebriation,intoxication alcohol"
C0001972,"aa,alcoholics anonymous"
C0001973,"abuse alcohol alcoholism,addiction alcohol,alcohol abuse alcoholism,alcohol addiction,alcohol dependence,alcohol dependence syndrome,alcohol dependences,alcohol dependency,alcoholism chronic,alcoholism chronic disorders,alcoholism disorders,alcoholisms,chronic alcoholism,dependence alcoholism alcohol,dipsomania,disorder alcoholism"
C0001975,"alcohol,alcohol substance,alcohols"
C0001977,butyl alcohol
C0001992,aldehydes
C0002003,aldehyde reductase
C0002007,"aldosterone antagonist,aldosterone inhibitors,antagonist aldosterone"
C0002018,alexias
C0002022,"alfalfa leaf,lucerne,medicago sativa"
C0002026,alfentanyl
C0002028,"alga,algae organisms,algas"
C0002032,chlorophyta
C0002035,algal blooms
C0002045,algorithms
C0002049,aliens
C0002055,"alkalies,alkalis,alkalising"
C0002059,"alkaline phosphatase,alkaline phosphatases,phosphomonoesterase"
C0002062,alkaloids
C0002063,alkaloses
C0002064,alkalosis respiratory
C0002065,alkanes
C0002066,alcaptonuria
C0002068,alkenes
C0002072,"sulfonated,sulfonates"
C0002073,"agents alkylating,alkylating agent,alkylating drug,alkylating drugs"
C0002085,alleles
C0002092,allergens
C0002111,allergy
C0002112,"allergy clinical immunology,immunology allergy"
C0002122,allied health professionals
C0002123,alligators
C0002154,alloys
C0002157,allylamines
C0002165,almitrine dimesylate
C0002168,aloes
C0002170,"alopecia,alopecia disorders,alopecias,bald,baldness,falling hair,falling hairs,falls hair,hair falling,loss of hair,thinning hair"
C0002171,"areata alopecia,patchy hair loss"
C0002173,alopecia mucinosa
C0002182,"alopecia traction,alopecia traumatic,traumatic alopecia"
C0002186,alpacas
C0002191,"1 alpha antitrypsin,a1pi,alpha 1 anti-trypsin,alpha 1 antiprotease,alpha 1 protease inhibitor,alpha 1 proteinase inhibitor,alpha 1-antitrypsin,alpha 1-proteinase inhibitor,alpha-1 antitrypsin,alpha-1-antitrypsin,alpha-1-proteinase inhibitor,alpha1 anti-trypsin,alpha1 protease inhibitor,alpha1-proteinase inhibitor,api"
C0002198,alpha-2-macroglobulin
C0002199,"alpha interferons,alpha-interferon,interferon alfa,interferon alpha,interferon-alpha"
C0002210,"alpha fetoprotein,alpha fetoproteins,alpha foetoprotein,fetuin"
C0002211,"alpha globulins,alpha-globulins"
C0002215,alpha macroglobulin
C0002219,alpha rhythms
C0002257,alpha crystallin
C0002260,"dfmo,difluoromethylornithine"
C0002268,"alpha d galactosidase,alpha galactosidase,alpha-galactosidase a"
C0002272,"alpha glucosidase,alpha-glucosidase"
C0002287,alpha lactalbumin
C0002302,alpha msh
C0002312,"alpha thalassaemia,alpha thalassemias,alpha-thalassaemia,alpha-thalassemia,thalassemia alpha"
C0002328,"algestone,alphasone"
C0002331,"alpha virus,alphaviruses"
C0002333,alprazolan
C0002335,"e1 prostaglandin,erectile dysfunction alprostadil,pge1,prostaglandin e1,prostaglandin e1 pge1"
C0002345,alternate splicing
C0002346,alternative medicines
C0002349,altitudes
C0002351,"altitude effects high,effects of high altitude,high altitude effects,high altitute sickness,mountain sickness"
C0002367,"al,aluminium,aluminum"
C0002368,aluminum ammonium sulfate
C0002371,"alum adjuvant,aluminium hydroxide,aluminum hydroxide antacid"
C0002372,aluminium hydroxide gel
C0002374,"alumina,aluminium oxide"
C0002382,"alveolar bone loss,periodontal resorption"
C0002386,alveolar processes
C0002388,alveolectomies
C0002390,"allergic alveolitis,allergic pneumonitis,alveolitis allergic,extrinsic allergic alveolitis,hypersensitivity pneumonia"
C0002393,alveoloplasties
C0002395,"Alzheimer disease,alzheimer diseases,alzheimer's diseases,alzheimers disease,dats,dementia alzheimers,senile dementia"
C0002402,amanitin
C0002403,amatadine
C0002406,"amaranth dye,amaranths"
C0002416,ambidexterity
C0002418,amblyopic
C0002422,ambulances
C0002423,"care ambulatory,care outpatient,outpatient care,outpatient treatment,outpatients treatment"
C0002424,"ambulatory care facility,clinic outpatient,clinics outpatient,clinics outpatients,outpatient clinic"
C0002428,"ambulatory procedures surgical,ambulatory surgeries,outpatient surgery,surgery ambulatory"
C0002429,"amblystoma,axolotl"
C0002435,amdinocillin
C0002438,"amebiases,amoebiasis"
C0002441,amebiasis cutaneous
C0002444,"amebicide,amoebicide,amoebicides"
C0002448,adamantinoma
C0002453,"amenia,amenorrhea,amenorrhoea,cessation of menses,lack of menses,menstruation absence"
C0002456,American association dental
C0002458,"American association heart,American heart associations"
C0002459,American association hospital
C0002460,American Indian
C0002461,American association medical
C0002463,"American association nurse,American association nurses,American nurse association,American nurses' association"
C0002475,"c mitomycin,mitomycin c,mitomycin-c,mmc,mtc"
C0002482,amides
C0002501,amikacin sulphate
C0002503,aminoacridines
C0002508,amines
C0002509,sympathomimetic amine
C0002514,"acid amino disorder,acid amino disorders,acid amino disorders metabolism,acids amino disorder,amino acid disorder,amino acid metabolism disorders,amino acidopathy,aminoacidopathies,hyperaminoacidurias"
C0002518,"acid amino sequences,amino acid sequence,amino acid sequences,protein sequence,protein sequences"
C0002520,"amino acids,aminoacid,aminoacids"
C0002521,"acids amino branch chain,acids amino branch chained,aminoacids branched chain,bcaa,branch chain amino acid,branched chain amino acid,branched-chain amino acid,branched-chain amino acids"
C0002525,"acids amino essential,amino acids essential,aminoacids essential,essential amino acid,essential aminoacid"
C0002531,amino sugars
C0002546,acid aminocaproic
C0002555,ag
C0002556,aminoglycoside
C0002563,"5 aminolevulinic acid,5-aminolevulinic acid,ala,amino levulinic acid"
C0002575,theophyllamine
C0002585,aminopyridines
C0002586,"amidazophen,amidophen,amidopyrine,aminofenazone,aminophenazone"
C0002594,"aminotransferase,aminotransferases,transaminases"
C0002611,"ammonium ion,ammonium ions"
C0002622,"amnesia,amnesias,dysmnesia,loss of memory"
C0002623,"post-traumatic amnesia,posttraumatic amnesia"
C0002625,"amnesic syndrome,amnestic disorders,amnestic syndrome"
C0002627,"amniocenteses,amniocentesis,amniocentesis procedure"
C0002630,"amnion,amnions,amniotic membrane"
C0002638,"amniotic fluids,liquor"
C0002640,amylobarbitone
C0002641,amodiaquin
C0002642,"ameba,amebic,amoebic"
C0002645,amoxycillin
C0002651,amp deaminase
C0002658,amfetamine
C0002667,amphetamines
C0002668,"amphibia,amphibians"
C0002677,ampholyte
C0002679,amphotericin-b
C0002680,"aminobenzylpenicillin,ampicillins"
C0002684,amplifiers
C0002688,"amputation procedure,amputations"
C0002689,"amputation limb,amputation limbs,amputations limb"
C0002690,"amputation stump,stumped,stumping,stumps"
C0002691,"above amputation knee,above amputation knee leg,above amputations knee,above-knee amputation,ak amputation,amputation above knee,amputations transfemoral,transfemoral amputation"
C0002692,"amputation below knee,amputations below knee"
C0002694,traumatic amputations
C0002695,amputees
C0002696,4-aminoantipyrine
C0002697,"amrinon,inamrinone"
C0002699,"amsa,m-amsa"
C0002708,"amygdalas,amygdaloid nucleus"
C0002710,amyl alcohol
C0002711,amyl nitrites
C0002712,"amylases,diastase,diastases"
C0002716,amyloids
C0002723,"amyloid a,amyloid substance,serum amyloid,serum amyloid protein a"
C0002726,"amyloid disease,amyloid diseases,amyloidoses"
C0002735,amyotonia congenita
C0002736,"ALS,amyotrophic lateral sclerosis,amyotrophic laterals sclerosis,lou gehrig disease,lou gehrig's disease,lou gehrigs disease"
C0002743,neonicotine
C0002759,anal sacs
C0002760,"anal sphincters,sphincter anal"
C0002763,"central nervous stimulants system,central nervous system stimulant,cns stimulant"
C0002766,"analgesia,analgesias,controlled pain,controlling pain,managed pain,management pain,managing pain,pain controll,pain controlling,pain relieved,pain relieving,pain therapies,pain therapy,relieving pain,therapy pain"
C0002768,"congenital analgesia,congenital insensitivity pain,congenital pain insensitivity"
C0002769,"analgesia epidural,analgesia epidurals"
C0002771,"analgesic,analgesic agents,analgesic drug,analgesic drugs,analgesics,analgesics drug,analgesics drugs,anodyne,anodynes,pain killer drug"
C0002772,"analgesics opioid,opioid analgesic"
C0002773,anti-inflammatory analgesic
C0002777,"pain analog scales,pain analogue scales"
C0002780,analysis of variance
C0002783,"epidemiologic studies,epidemiologic study,epidemiological study"
C0002791,anaphylotoxin
C0002793,dedifferentiation
C0002797,"anaplasmosis,fever tick,fever ticks,fevers tick"
C0002804,"bypass roux-en-y,roux en y,roux en y anastomosis,roux-en-y anastomoses,roux-en-y anastomosis"
C0002808,anatomy
C0002810,anatomy artistic
C0002811,anatomy comparative
C0002830,hookworms
C0002831,ankylostomiasis
C0002842,"androgen inhibitor,androgen inhibitors,anti androgen,anti-androgens,antiandrogens"
C0002844,androgens
C0002845,"anabolic steroid,anabolic steroids,anabolics,anabolics steroids"
C0002852,androstadiene
C0002860,androstenedione
C0002867,anecdotes
C0002871,"anaemia,anaemias,anemias"
C0002873,"acd,acds,anaemia chronic disease,anaemia chronic diseases,anaemia of chronic disease,anemia chronic disease,anemia chronic diseases,anemias chronic disease,chronic anemia disease,chronic disease anemia"
C0002874,"aplastic anaemia,aplastic anemia nos,bone marrow aplasia,erythroid aplasia"
C0002875,"anemia cooley's,beta thalassaemia major,beta thalassemia major,cooley anemia,cooley's anaemia,cooleys anemia,homozygous beta thalassemia,major thalassemia,mediterranean anaemia,mediterranean anemia,thalassaemia major,thalassemia major"
C0002876,cda
C0002878,"haemolytic anaemia,haemolytic anaemias,hemolytic anemias"
C0002879,acquired anemia hemolytic
C0002880,"anaemia haemolytic autoimmune,anemia autoimmune hemolytic,anemia hemolytic autoimmune,autoimmune haemolytic anaemia,autoimmune haemolytic anaemias,autoimmune hemolytic anemias,hemolytic autoimmune anemia,immunohemolytic anemia"
C0002881,"anaemias haemolytics hereditary,hereditary haemolytic anaemias,hereditary hemolytic anemia"
C0002884,"anemia hypochromic,hypochromic anaemia,hypochromic anemias,normocytic hypochromic anemia"
C0002886,"anemia disorders macrocytic,anemia macrocytic,macrocytic anaemia,macrocytic anemias"
C0002888,"anemia megaloblastic,megaloblastic,megaloblastic anaemia,megaloblastic anemias"
C0002890,"anemias myelophthisic,leukoerythroblastic anemia,myelophthisic anemia"
C0002891,"anaemia neonatal,neonatal anaemia,neonatal anemia"
C0002892,"addison's anemia,addison-biermer anemia,addisonian anemia,pernicious anaemia"
C0002893,"anemia refractory,refractory anaemia,refractory anemias"
C0002894,"raeb,smoldering leukemia"
C0002895,"anaemia cell sickle,anemia cell disorder sickle,anemia cell disorders sickle,anemia cells sickle,anemia cells sickles,anemia sickle cell,anemia sickle celled,anemia sickle-cell,cell diseases sickle,cell disorder sickle,cell sickle syndrome,cell sickle syndromes,cells disease sickle,disease hb s,disease sickle cell,disease sickle-cell,hb s disease,scds,sickle cell anaemia,sickle cell anemias,sickle cell disease,sickle cell disorder,sickle cell syndrome,sickle-cell anaemia,sickle-cell anemia,sickle-cell disease,sicklemia,syndrome sickle cell"
C0002896,"anemia sideroblastic,sideroblastic anaemia,sideroblastic anemias"
C0002898,"anemia cells target,target cell anemia"
C0002902,"anencephalia,anencephalus"
C0002903,"anaesthesia,anesthesia,anesthesias,procedure anesthesia"
C0002905,"analgesia anesthesia,anesthesia analgesia"
C0002906,anesthesia assistant
C0002907,anaesthetics department
C0002909,"anesthesia caudal,anesthesia epidural sacral"
C0002911,"anaesthesia regional,anesthesia regional,conduction anesthesia,regional anaesthesia"
C0002912,"anesthesia dental,anesthesia dentistry,anesthesia in dentistry,dentistry anesthesia"
C0002913,"epidural anaesthesia,epidural block,peridural anaesthesia,peridural anesthesia"
C0002915,"anaesthetic general,ga,general anaesthesia,general anaesthetic,general anesthetic"
C0002919,"anesthesias endotracheal,endotracheal anaesthesia"
C0002920,"anesthesia intravenous,intravenous anaesthesia"
C0002921,"anaesthesia local,anaesthetic local,anaesthetics local,anesthesia local,anesthetic local,anesthetic local procedure,anesthetic local techniques,laing,local anaesthesia,local anaesthetic,local anesthetic,local anesthetic technique"
C0002922,"anesthesia for obstetrics,anesthesia in obstetrics,anesthesia obstetric,anesthesia obstetrics,obstetrical anesthesia,obstetrics anesthesia"
